"","date","Open","High","Low","Close","Adj_Close"
"2748",1999-06-09,63000,63000,59500,61000,59070
"2749",1999-06-10,60100,64900,60100,62400,60425
"2750",1999-06-11,62400,62400,60000,61000,59070
"2751",1999-06-14,61000,61000,59000,59500,57617
"2752",1999-06-15,61000,61500,56300,58000,56165
"2753",1999-06-16,59800,63000,55700,61000,59070
"2754",1999-06-17,60100,60800,59000,59300,57423
"2755",1999-06-18,58000,60500,58000,60400,58489
"2756",1999-06-21,61000,62000,60500,61900,59941
"2757",1999-06-22,61800,61800,60000,61500,59554
"2758",1999-06-23,61400,61400,59100,59600,57714
"2759",1999-06-24,60000,60100,57900,58000,56165
"2760",1999-06-25,58000,58000,56300,57500,55680
"2761",1999-06-28,58100,59600,56500,56600,54809
"2762",1999-06-29,57000,59000,55000,58700,56842
"2763",1999-06-30,58700,59000,57000,59000,57133
"2764",1999-07-01,60000,66000,59600,66000,63911
"2765",1999-07-02,65000,69400,62000,69000,66816
"2766",1999-07-05,65000,72900,65000,69000,66816
"2767",1999-07-06,68000,70800,67500,70700,68463
"2768",1999-07-07,70500,77400,70000,74800,72433
"2769",1999-07-08,78100,78100,72500,73000,70690
"2770",1999-07-09,72000,74800,71000,72000,69722
"2771",1999-07-12,73000,73500,69500,69900,67688
"2772",1999-07-13,66900,69300,65500,67500,65364
"2773",1999-07-14,67500,67500,65000,65500,63427
"2774",1999-07-15,64000,68500,64000,67500,65364
"2775",1999-07-16,66500,73700,66400,71000,68753
"2776",1999-07-19,73000,74000,70000,70000,67785
"2777",1999-07-20,69900,69900,67500,68000,65848
"2778",1999-07-21,68500,68500,65000,65400,63330
"2779",1999-07-22,64100,67500,63200,65400,63330
"2780",1999-07-23,65000,67300,62000,64500,62459
"2781",1999-07-26,63500,63500,57000,58000,56165
"2782",1999-07-27,60000,61000,58000,60000,58101
"2783",1999-07-28,63000,64800,61000,62800,60813
"2784",1999-07-29,64400,66000,63500,63800,61781
"2785",1999-07-30,64000,64000,56200,61900,59941
"2786",1999-08-02,62100,62500,58000,60700,58779
"2787",1999-08-03,61500,62500,61000,62200,60232
"2788",1999-08-04,63500,63500,60100,61900,59941
"2789",1999-08-05,61000,61500,59200,59700,57811
"2790",1999-08-06,59000,60500,58100,58500,56649
"2791",1999-08-09,58700,59300,57500,58800,56939
"2792",1999-08-10,58600,58600,56900,57200,55390
"2793",1999-08-11,57000,57600,56000,57100,55293
"2794",1999-08-12,57000,57300,55800,56800,55003
"2795",1999-08-13,56100,56100,52000,53500,51807
"2796",1999-08-16,52500,54300,52500,53000,51323
"2797",1999-08-17,53000,53500,48100,49500,47934
"2798",1999-08-18,48000,49500,44000,49500,47934
"2799",1999-08-19,50000,54400,49500,53000,51323
"2800",1999-08-20,53000,53000,49500,51000,49386
"2801",1999-08-23,51000,52100,51000,51600,49967
"2802",1999-08-24,54000,54000,51500,54000,52291
"2803",1999-08-25,52500,53700,52400,53000,51323
"2804",1999-08-26,53500,54000,52000,52000,50354
"2805",1999-08-27,51100,52000,49800,50000,48418
"2806",1999-08-30,51500,51500,49000,49800,48224
"2807",1999-08-31,50000,50000,48200,50000,48418
"2808",1999-09-01,49500,49500,47600,47900,46384
"2809",1999-09-02,46900,47500,45600,47000,45513
"2810",1999-09-03,49000,49000,45500,48000,46481
"2811",1999-09-06,48900,51500,48000,51500,49870
"2812",1999-09-07,50000,50000,49000,50000,48418
"2813",1999-09-08,49000,50000,48000,49000,47449
"2814",1999-09-09,48000,49000,47600,47700,46191
"2815",1999-09-10,47700,48200,47000,47800,46287
"2816",1999-09-13,47800,48000,46600,47300,45803
"2817",1999-09-14,47400,47400,45700,46500,45028
"2818",1999-09-15,46000,47100,45500,46800,45319
"2819",1999-09-16,45500,46800,44000,44500,43092
"2820",1999-09-17,43100,44000,41500,43000,41639
"2821",1999-09-20,42900,43000,41300,42000,40671
"2822",1999-09-21,42500,45000,42500,44600,43189
"2823",1999-09-22,43100,44550,43000,43500,42123
"2824",1999-09-27,44000,44000,42100,42300,40961
"2825",1999-09-28,42000,42100,40100,40650,39364
"2826",1999-09-29,40650,41500,40100,40200,38928
"2827",1999-09-30,40500,43500,39200,43500,42123
"2828",1999-10-01,41000,41000,38300,39000,37766
"2829",1999-10-04,39500,40000,38500,39400,38153
"2830",1999-10-05,39800,43000,37800,37800,36604
"2831",1999-10-06,38500,39300,37000,38400,37185
"2832",1999-10-07,38600,40000,38000,39800,38541
"2833",1999-10-08,40500,44000,40500,43000,41639
"2834",1999-10-11,44000,48150,43000,47000,45513
"2835",1999-10-12,48000,50800,47100,49300,47740
"2836",1999-10-13,48000,48000,45000,46500,45028
"2837",1999-10-14,46800,46800,43800,44300,42898
"2838",1999-10-15,45100,48000,45100,45650,44205
"2839",1999-10-18,42650,45000,42650,43500,42123
"2840",1999-10-19,43500,45400,42000,43000,41639
"2841",1999-10-20,43500,45500,43200,44500,43092
"2842",1999-10-21,45000,45500,43100,43700,42317
"2843",1999-10-22,43400,43400,41150,42400,41058
"2844",1999-10-25,42750,42900,40400,41000,39703
"2845",1999-10-26,40000,42500,39300,41600,40284
"2846",1999-10-27,43600,46550,42700,44800,43382
"2847",1999-10-28,45000,46500,43600,45000,43576
"2848",1999-10-29,46000,49000,45100,47600,46094
"2849",1999-11-01,50000,52000,49000,51900,50258
"2850",1999-11-02,51800,55700,50100,52400,50742
"2851",1999-11-03,52000,55000,51500,52500,50839
"2852",1999-11-04,53000,53400,51200,51400,49773
"2853",1999-11-05,52000,55600,51500,53200,51516
"2854",1999-11-08,54000,56300,53100,53600,51904
"2855",1999-11-09,53600,53600,50800,52300,50645
"2856",1999-11-10,52000,54500,51000,52700,51032
"2857",1999-11-11,52000,59000,51200,59000,57133
"2858",1999-11-12,63000,64800,55700,59000,57133
"2859",1999-11-15,59000,59800,55500,57500,55680
"2860",1999-11-16,56000,59800,56000,59400,57520
"2861",1999-11-17,60000,60800,53100,54500,52775
"2862",1999-11-18,54500,55000,52000,53500,51807
"2863",1999-11-19,54000,56000,53400,54500,52775
"2864",1999-11-22,54700,55000,51900,53500,51807
"2865",1999-11-23,52100,55500,51100,52800,51129
"2866",1999-11-24,51000,52500,51000,52100,50451
"2867",1999-11-25,51500,56000,51200,54100,52388
"2868",1999-11-26,54500,56500,52000,55000,53259
"2869",1999-11-29,56000,61600,54100,61600,59651
"2870",1999-11-30,63000,67500,60100,63000,61006
"2871",1999-12-01,65000,65000,57000,58700,56842
"2872",1999-12-02,58000,58000,52000,53500,51807
"2873",1999-12-03,50700,53000,50600,51900,50258
"2874",1999-12-06,52500,56500,52500,55200,53453
"2875",1999-12-07,54700,61800,53000,61500,59554
"2876",1999-12-08,61400,68800,60000,68800,66623
"2877",1999-12-09,77000,77000,77000,77000,74563
"2878",1999-12-10,86200,86200,81000,86200,83472
"2879",1999-12-13,86500,96300,80500,93000,90057
"2880",1999-12-14,89000,96800,82000,83000,80373
"2881",1999-12-15,80000,82000,73100,73100,70787
"2882",1999-12-16,73100,77000,64400,65500,63427
"2883",1999-12-17,65400,68000,59000,62000,60038
"2884",1999-12-20,62800,68900,62000,66100,64008
"2885",1999-12-21,66100,74000,66100,73800,71465
"2886",1999-12-22,75000,78000,65200,68600,66429
"2887",1999-12-23,70000,72900,64100,65000,62943
"2888",1999-12-24,65000,66000,61000,63000,61006
"2889",1999-12-27,61500,66900,60000,61000,59070
"2890",1999-12-28,60000,63500,54700,55000,53259
"2891",2000-01-04,61600,61600,58100,61600,59651
"2892",2000-01-05,61000,67800,59500,64500,62459
"2893",2000-01-06,65000,65000,56800,58600,56746
"2894",2000-01-07,56900,56900,53000,54800,53066
"2895",2000-01-10,58000,59500,55000,58200,56358
"2896",2000-01-11,65100,65100,65100,65100,63040
"2897",2000-01-12,65000,72000,60500,67000,64880
"2898",2000-01-13,65000,66000,60100,65100,63040
"2899",2000-01-14,67000,68000,60500,62600,60619
"2900",2000-01-17,62600,65000,61000,64000,61975
"2901",2000-01-18,63000,67300,62600,65700,63621
"2902",2000-01-19,65500,70500,57900,58000,56165
"2903",2000-01-20,57900,58000,51500,58000,56165
"2904",2000-01-21,56000,59500,54000,55000,53259
"2905",2000-01-24,55000,59100,55000,57700,55874
"2906",2000-01-25,55700,57100,54500,54600,52872
"2907",2000-01-26,54600,56700,51800,53900,52194
"2908",2000-01-27,52900,52900,50300,50800,49192
"2909",2000-01-28,50800,53500,50100,53000,51323
"2910",2000-01-31,51000,54400,50600,52500,50839
"2911",2000-02-01,53500,57000,53200,54000,52291
"2912",2000-02-02,54600,57500,53900,56500,54712
"2913",2000-02-03,57000,63200,57000,63200,61200
"2914",2000-02-07,66200,70500,65700,68400,66235
"2915",2000-02-08,67400,68000,60500,61200,59263
"2916",2000-02-09,61800,65600,61700,62400,60425
"2917",2000-02-10,59900,62700,58000,59800,57908
"2918",2000-02-11,61000,63800,59000,60000,58101
"2919",2000-02-14,57600,59800,53500,55000,53259
"2920",2000-02-15,54900,57000,52500,54500,52775
"2921",2000-02-16,54000,55800,52100,55400,53647
"2922",2000-02-17,55000,59400,54200,58500,56649
"2923",2000-02-18,59400,61900,58700,60300,58392
"2924",2000-02-21,59000,60000,56000,56800,55003
"2925",2000-02-22,58100,62000,56500,62000,60038
"2926",2000-02-23,62500,62800,56500,60700,58779
"2927",2000-02-24,62500,66000,61500,61900,59941
"2928",2000-02-25,60500,61500,56800,58000,56165
"2929",2000-02-28,56500,58800,55200,55800,54034
"2930",2000-02-29,56500,59800,55700,58000,56165
"2931",2000-03-02,59300,61000,58200,59400,57520
"2932",2000-03-03,58700,59400,56000,58500,56649
"2933",2000-03-06,58500,59800,56500,57000,55196
"2934",2000-03-07,57500,59800,55800,57100,55293
"2935",2000-03-08,57000,57800,55500,56500,54712
"2936",2000-03-09,56500,58700,56000,57300,55487
